Analysis Date,Women's Health
Sep-09,"3,972"
Oct-09,"8,439"
Nov-09,"9,337"
Dec-09,"5,431"
Jan-10,"4,129"
Feb-10,"7,632"
Mar-10,"10,208"
Apr-10,"14,336"
May-10,"7,297"
Jun-10,"10,624"
Jul-10,"37,908"
Aug-10,"25,580"
Sep-10,"30,021"
Oct-10,"24,850"
Nov-10,"30,915"
Dec-10,"28,286"
Jan-11,"48,220"
Feb-11,"66,994"
Mar-11,"54,862"
Apr-11,"62,705"
May-11,"59,762"
Jun-11,"55,543"
Jul-11,"56,762"
Aug-11,"73,897"
Sep-11,"59,268"
Oct-11,"45,369"
Nov-11,"58,995"
Dec-11,"46,893"
Jan-12,"61,712"
Feb-12,"289,843"
Mar-12,"238,587"
Apr-12,"87,907"
May-12,"78,144"
Jun-12,"75,780"
Jul-12,"120,345"
Aug-12,"302,149"
Sep-12,"158,948"
Oct-12,"250,758"
Nov-12,"160,845"
Dec-12,"96,995"
Jan-13,"206,774"
Feb-13,"164,500"
Mar-13,"185,139"
Apr-13,"176,556"
May-13,"179,306"
Jun-13,"183,191"
Jul-13,"188,529"
Aug-13,"146,959"
Sep-13,"151,316"
Oct-13,"181,161"
Nov-13,"174,900"
Dec-13,"146,080"
Jan-14,"198,872"
